Language Name,Language Identifier (Rev79),Complete Chapters (Project),Translation Status (Project),Comments,Country (Project),Organization,Organization Role,All Access Goal (Rev79),All Access Goal Status (Rev79),Updated in Rev79,Sensitivity,Mode,Type of translation,Contact Person,Team Leader,Mentor,Standard Objectives,Chapters,Start Date,End Date,Last updated,Not approved yet chapters
Afrikaans: Kaaps,afr,0,Progress Unknown,,South Africa,YWAM Sydney,,Two Bibles,Goal Met in the language,No,,,,Etienne Pieterse,,,,https://www.notion.so/uofncall/13fa7a8d5e6e8133a3e8c2c6e0f90a7a?v=13fa7a8d5e6e81bfa1ae000cd0fd9421,,,,
Amako (Korak),koz,0,Active,"OMTT Training - assuming it stands for oral mother tongue translator training ",Papua New Guinea,YWAM Madang,,25 Chapters,Translation in Progress,Yes,,,,Pati & Marcos,,Pati Beltramini,,https://www.notion.so/uofncall/13fa7a8d5e6e81868384d877526c2050?v=13fa7a8d5e6e81afbf90000c4d890d50,,,,
Apinayé,apn,0,Active,"This data is from when Rafa worked in Novas tribos, YWAM don’t have anything going on ",Brazil,YWAM Porto Velho,,25 Chapters,Goal Met in the language,No,,,,Rafa / Ciro,,,,https://www.notion.so/uofncall/13ea7a8d5e6e817fa510e956e1d44295?v=13ea7a8d5e6e81108aaf000c91e88bf4,,,16/06/2026,
"Asháninka ",cni,0,Inactive (paused),"eles começaram mas estão aguardando ",Peru,YWAM Aurora,,NT / 260 Chapters,Goal Met in the language,No,,,,Fresia,Fresia,Daniel,,https://www.notion.so/uofncall/14da7a8d5e6e81e2bb14e5b004f0b2dd?v=14da7a8d5e6e81858db9000ce11a2663,,,29/11/2024,
Awa-Cuaiquer,kwi,0,Active,,Colombia,YWAM Leticia,,NT / 260 Chapters,Goal Met in the language,No,,,,Lori,Edwin,Daniel,,https://www.notion.so/uofncall/13fa7a8d5e6e81ff9acff6723434918f?v=13fa7a8d5e6e817cb95c000cac66ba3e,,,29/11/2024,
Awar: Nubia,aya,,Planned (to start in the next 12 months),,Papua New Guinea,YWAM Madang,,,N/A,Yes,,,,Pati & Marcos,,Pati Beltramini,,https://www.notion.so/uofncall/145a7a8d5e6e81409022eba8efa8b455?v=145a7a8d5e6e8195a6d1000cb0a83499,,,,
Baikeno,bkx,0,Active,,East Timor,YWAM East Timor,Manages/Co-manages,NT / 260 Chapters,Translation in Progress,Yes,,Oral,OBT - Traditional,"Anabel ",Anabel,Raissa,Bible Translation,https://www.notion.so/uofncall/149a7a8d5e6e814f8119ebbd31941bfb?v=149a7a8d5e6e8170ac33000c906da1df,,,16/06/2026,
Banawa,jaa-b,0,Active,They have two dialects in the same language identifier,Brazil,YWAM Porto Velho,,25 Chapters,Goal Met in the language,Yes,,,,Rafa / Ciro,Lidia,Betania,,https://www.notion.so/uofncall/13ea7a8d5e6e812ab836c1fcc65b2e94?v=13ea7a8d5e6e812ea8cb000c976c09e7,,,16/06/2026,
Bantawa,bap,260,Active,,Nepal,YWAM Perth,,NT / 260 Chapters,Goal Met in the language,Yes,,,,Jen,,,,https://www.notion.so/uofncall/144a7a8d5e6e8150919bee3400ca24aa?v=144a7a8d5e6e81699096000c4042e478,,,,
Beopour,bie,,Active,"ainda vai fazer treinamento / lingua está em risco ",Papua New Guinea,YWAM Madang,,25 Chapters,Translation in Progress,Yes,,,,Pati & Marcos,,Pati Beltramini,,https://www.notion.so/uofncall/145a7a8d5e6e81eba676cfa9244f4e64?v=145a7a8d5e6e8104a890000cb27765d3,,,,
