Language Name,All Access Goal (Rev79),All Access Goal Status (Rev79),Chapters,Comments,Complete Chapters (Project),Contact Person,Country (Project),End Date,Language Identifier (Rev79),Last updated,Mentor,Mode,Not approved yet chapters,Organization,Organization Role,Sensitivity,Standard Objectives,Start Date,Team Leader,Translation Status (Project),Type of translation,Updated in Rev79
Tupi Kawahiva: Amondawa,,Not on All Access Goals List,https://www.notion.so/uofncall/13ea7a8d5e6e8135ae1beef4e4c0d877?v=13ea7a8d5e6e81daadd4000c93e38d25,"There’s another organization working with them, Porto velho will stay with the translation fo the Tenharim ",,Rafa / Ciro,Brazil,,pah,28/11/2024,,,,YWAM Porto Velho,,,,,,Canceled,,No
Apinayé,25 Chapters,Goal Met in the language,https://www.notion.so/uofncall/13ea7a8d5e6e817fa510e956e1d44295?v=13ea7a8d5e6e81108aaf000c91e88bf4,"This data is from when Rafa worked in Novas tribos, YWAM don’t have anything going on ",0,Rafa / Ciro,Brazil,,apn,16/06/2026,,,,YWAM Porto Velho,,,,,,Active,,No
Banawa,25 Chapters,Goal Met in the language,https://www.notion.so/uofncall/13ea7a8d5e6e812ab836c1fcc65b2e94?v=13ea7a8d5e6e812ea8cb000c976c09e7,They have two dialects in the same language identifier,0,Rafa / Ciro,Brazil,,jaa-b,16/06/2026,Betania,,,YWAM Porto Velho,,,,,Lidia,Active,,Yes
Cinta Larga,25 Chapters,Translation in Progress,https://www.notion.so/uofncall/13ea7a8d5e6e81b19964fb50416a42d0?v=13ea7a8d5e6e81a3ab1d000c550d22a2,,4,Rafa / Ciro,Brazil,,cin,16/06/2026,Raissa,,0,YWAM Porto Velho,,,,,Ana Beatriz,Active,,Yes
Dâw,25 Chapters,Translation in Progress,https://www.notion.so/uofncall/13ea7a8d5e6e815aa32fdfe73a63914a?v=13ea7a8d5e6e8102b788000c0745c179,,4,Rafa / Ciro,Brazil,,kwa,28/11/2024,Betania,,,YWAM Porto Velho,,,,,Rodolfo / Debora,Active,,Yes
Diahói,,Not on All Access Goals List,https://www.notion.so/uofncall/13ea7a8d5e6e81d590c0f254cbf03cdd?v=13ea7a8d5e6e810aa38c000c9d573dea,They won’t do it now,,Rafa / Ciro,Brazil,,pah,28/11/2024,,,,YWAM Porto Velho,,,,,,Canceled,,No
Jarawara ,25 Chapters,Goal Met in the language,https://www.notion.so/uofncall/13ea7a8d5e6e815596dfc8c713d7b93c?v=13ea7a8d5e6e816f8fb8000c0218dddb,"Wycliffe did the New Testament, there’s an intent to do the Old Testament ",0,Rafa / Ciro,Brazil,,jaa,28/11/2024,,,,YWAM Porto Velho,,,,,,Intent (to start in more than 12 months),,Yes
Tupi Kawahiva: Karipuna,,Not on All Access Goals List,https://www.notion.so/uofncall/13ea7a8d5e6e81e08e16d640eaa998f2?v=13ea7a8d5e6e81f3a1d1000ccff05ee3,,,Rafa / Ciro,Brazil,,pah,28/11/2024,,,,YWAM Porto Velho,,,,,,Canceled,,No
Karitiana,25 Chapters,Translation in Progress,https://www.notion.so/uofncall/13ea7a8d5e6e81908228c446d61713a3?v=13ea7a8d5e6e811eb2ca000c41cc53ca,"The engagement in Rev79 is portion of old testament and is completed because they finished Ruth. They don’t have translators to keep going. ",4,Rafa / Ciro,Brazil,,ktn,28/11/2024,Betania,,,YWAM Porto Velho,,,,,Silvana,Inactive (paused),,Yes
Krahô,25 Chapters,Translation in Progress,https://www.notion.so/uofncall/13ea7a8d5e6e81d79358e343a2ccb70e?v=13ea7a8d5e6e8176b1dd000c7a36a6f6,,4,Rafa / Ciro,Brazil,,xra,28/11/2024,Betania,,,YWAM Porto Velho,,,,,Nicolas,Active,,Yes
Tupi Kawahiva: Parintintin,,Not on All Access Goals List,https://www.notion.so/uofncall/13ea7a8d5e6e8179914ee676014884a9?v=13ea7a8d5e6e8120a487000cae090535,,,Rafa / Ciro,Brazil,,pah,16/06/2026,,,,YWAM Porto Velho,,,,,,Active,,No
Sanumá,25 Chapters,Goal Met in the language,https://www.notion.so/uofncall/13ea7a8d5e6e818d82e9c546adf2addd?v=13ea7a8d5e6e81a287ad000c80d18867,"Plan to review New Testament in 2 years. Governo bloqueou entrada na aldeia. ",4,Raíssa,Brazil,,xsu,29/11/2024,Pati Tivane,,,"YWAM Casa - São Paulo, YWAM Porto Velho",,,,,Mimica,Inactive (paused),,No
Suruwaha,25 Chapters,Translation in Progress,https://www.notion.so/uofncall/13ea7a8d5e6e81ee8e6ee3237335efcf?v=13ea7a8d5e6e811484f4000c0f67f0eb,"Plan to translate Matthew in 3 years (they only have 1 translator). em 2025 plano é continuar. ",4,Raíssa,Brazil,,swx,29/11/2024,Raissa,,,"YWAM Casa - São Paulo, YWAM Porto Velho",,,,,Raissa,Planned (to start in the next 12 months),,No
Tupari,,Not on All Access Goals List,https://www.notion.so/uofncall/13ea7a8d5e6e8190bf0ade4d43ad879b?v=13ea7a8d5e6e81ed8e5d000cfcae1c9f,,4,Rafa / Ciro,Brazil,,tpr,28/11/2024,Raissa,,,YWAM Porto Velho,,,,,Zita,Active,,Yes
Kamaiurá,25 Chapters,Translation in Progress,https://www.notion.so/uofncall/13ea7a8d5e6e8106b593e2f19e1bd7c4?v=13ea7a8d5e6e81ad84f1000c0bcfe4f7,,0,Raíssa,Brazil,,kay,16/06/2026,Raissa,,,YWAM Casa - São Paulo,,,,,Margareth,Active,,Yes
Purig Kargil,NT / 260 Chapters,Goal Met in the language,https://www.notion.so/uofncall/13ea7a8d5e6e81e4a324e46028817687?v=13ea7a8d5e6e81e29d9c000c876a9591,,4,Suelen,India,,prx,,Raissa,,,YWAM Los Angeles,,,,,,Planned (to start in the next 12 months),,Yes
Kebu,NT / 260 Chapters,Goal Met in the language,https://www.notion.so/uofncall/13ea7a8d5e6e81099454cf4aae5bd3a3?v=13ea7a8d5e6e8151bcf4000c300bbea0,They don't have a facilitator anymore,4,Suzuki,Uganda,,ndp,,Suzuki,,,YWAM Arua,,,,,,Inactive (paused),,Yes
Warnang,25 Chapters,Translation in Progress,https://www.notion.so/uofncall/13ea7a8d5e6e8176a2b6d3b66780475f?v=13ea7a8d5e6e81eb81c5000c3cee5404,Engaged in Language Development,0,Suzuki,Sudan,,wrn,,Suzuki,,,YWAM Arua,,,,,,Inactive (paused),,Yes
Logol,,Not on All Access Goals List,https://www.notion.so/uofncall/13ea7a8d5e6e8195bd8ac8d68bb1ec1c?v=13ea7a8d5e6e81bdbffd000c457d8f09,Plan to do whole Bible. Engaged in Trauma healing project. Engaged in Language Development,8,Suzuki,Sudan,,lof,,Suzuki,,,YWAM Arua,,,,,,Active,,Yes
Ko (kau-nyaro),25 Chapters,Translation in Progress,https://www.notion.so/uofncall/13ea7a8d5e6e814286a2fbcd27a38e8d?v=13ea7a8d5e6e814f868c000cdbea4ea3,Engaged  in Language Development,0,Suzuki,Sudan,,fuj,,Suzuki,,,YWAM Arua,,,,,,Inactive (paused),,Yes
Lokoya,NT / 260 Chapters,Translation in Progress,https://www.notion.so/uofncall/13ea7a8d5e6e81689ff1f583745d2806?v=13ea7a8d5e6e81ceafe0000c5594c247,Book of Ruth - draft,0,Youngshin,South Sudan,,lky,16/06/2026,Youngshin,,,YWAM Arua,,,,,,Active,,Yes
Lafofa (Tegem Lafofa),NT / 260 Chapters,Translation not Started,https://www.notion.so/uofncall/13ea7a8d5e6e81cba401c5c754a035f9?v=13ea7a8d5e6e81dda4d0000cb46d33fd,Interest in Bible Translation and Language Development - Survey/Preparation,0,Suzuki,Sudan,,laf,,Suzuki,,,YWAM Arua,,,,,,Intent (to start in more than 12 months),,Yes
Jaminawa - Yaminahua: Brazilian Side,25 Chapters,Goal Met in the language,https://www.notion.so/uofncall/13ea7a8d5e6e81229045f5fb8b66d901?v=13ea7a8d5e6e8172989e000cf60819da,,156,Rafa / Ciro,Brazil,,yaa,28/11/2024,Pati Tivane,,,YWAM Porto Velho,,,,,Matheus / Daniel,Active,,Yes
Gedaged / Bel,NT / 260 Chapters,Goal Met in the language,https://www.notion.so/uofncall/13fa7a8d5e6e819dbf2ff0b3d4974dc5?v=13fa7a8d5e6e81aa912b000c6e147249,OMTT Training - Ruth,4,Pati & Marcos,Papua New Guinea,,gdd,16/06/2026,Pati Beltramini,,,YWAM Madang,,,,,,Active,,Yes
Monumbo,,Not on All Access Goals List,https://www.notion.so/uofncall/13fa7a8d5e6e816ea0e9fd2bfdc53310?v=13fa7a8d5e6e8174b1e5000cff4e19ee,OMTT Training,0,Pati & Marcos,Papua New Guinea,,mxk,16/06/2026,Pati Beltramini,,,YWAM Madang,,,,,,Active,,Yes
Sepa,25 Chapters,Translation in Progress,https://www.notion.so/uofncall/13fa7a8d5e6e8189af91e786f2dcd19a?v=13fa7a8d5e6e81d497e4000cc2d68498,vai em novembro pra treinamento,0,Pati & Marcos,Papua New Guinea,,spe,,Pati Beltramini,,,YWAM Madang,,,,,,Active,,Yes
Lilau,25 Chapters,Translation in Progress,https://www.notion.so/uofncall/13fa7a8d5e6e81799bf9dd035750ec12?v=13fa7a8d5e6e81c895f1000c057379a6,OMTT Training - Ruth / lingua em risco,0,Pati & Marcos,Papua New Guinea,,LLL,16/06/2026,Pati Beltramini,,,YWAM Madang,,,,,,Active,,Yes
Medebur,25 Chapters,Translation in Progress,https://www.notion.so/uofncall/13fa7a8d5e6e817a8fc5ff87d82e80b0?v=13fa7a8d5e6e8197a9cf000c6b007ce1,não fizeram o treinamento ainda,0,Pati & Marcos,Papua New Guinea,,mjm,16/06/2026,Pati Beltramini,,,YWAM Madang,,,,,,Active,,Yes
Amako (Korak),25 Chapters,Translation in Progress,https://www.notion.so/uofncall/13fa7a8d5e6e81868384d877526c2050?v=13fa7a8d5e6e81afbf90000c4d890d50,"OMTT Training - assuming it stands for oral mother tongue translator training ",0,Pati & Marcos,Papua New Guinea,,koz,,Pati Beltramini,,,YWAM Madang,,,,,,Active,,Yes
Brem,25 Chapters,Translation in Progress,https://www.notion.so/uofncall/13fa7a8d5e6e8130a9bef7507cbc8386?v=13fa7a8d5e6e8100af92000c76e79048,OMTT Training,0,Pati & Marcos,Papua New Guinea,,buq,,Pati Beltramini,,,YWAM Madang,,,,,,Active,,Yes
Gavak,25 Chapters,Translation in Progress,https://www.notion.so/uofncall/13fa7a8d5e6e81498d4fc00e53b0364b?v=13fa7a8d5e6e8140a57a000cb40e1afd,OMTT Training,0,Pati & Marcos,Papua New Guinea,,dmc,,Pati Beltramini,,,YWAM Madang,,,,,,Active,,Yes
Yoidik,25 Chapters,Translation in Progress,https://www.notion.so/uofncall/13fa7a8d5e6e8145ac03efd8d08e0e13?v=13fa7a8d5e6e81e78bd4000cd763a3f5,não fizeram o treinamento ainda,0,Pati & Marcos,Papua New Guinea,,ydk,16/06/2026,Pati Beltramini,,,YWAM Madang,,,,,,Active,,Yes
"Melpa: Central ",NT / 260 Chapters,Goal Met in the language,https://www.notion.so/uofncall/13fa7a8d5e6e815c97d6d07f6a26d9df?v=13fa7a8d5e6e819193e8000cb0dcf3ae,Community Development / não vai continuar com eles esse ano,0,Pati & Marcos,Papua New Guinea,,med,16/06/2026,Pati Beltramini,,,YWAM Madang,,,,,,Active,,Yes
Sa'di of High Egypt,Bible,Translation in Progress,https://www.notion.so/uofncall/13fa7a8d5e6e81028a84f918f9eaba44?v=13fa7a8d5e6e819faf2a000caf225000,,110,Botros,Egypt,,aec,12/05/2025,Jen,Oral,,YWAM Egypt,Manages/Co-manages,Confidential,Bible Translation,,Botros,Active,OBT - Traditional,Yes
Kopkaka,25 Chapters,Translation in Progress,https://www.notion.so/uofncall/13fa7a8d5e6e81d0a354e53cc39e36be?v=13fa7a8d5e6e81649285000c14614430,,5,Rob,Indonesia,,opk,,Sylvia Kay,,,YWAM Indonesia,,,,,,Completed (the team finished what they wanted to do),,Yes
Korowai,25 Chapters,Goal Met in the language,https://www.notion.so/uofncall/13fa7a8d5e6e812bb2b1ee7709b60f5a?v=13fa7a8d5e6e818aba9c000caf5ebd5f,,0,Rob,Indonesia,,khe,,Sylvia Kay,,,YWAM Indonesia,,,,,,Active,,Yes
Narak,NT / 260 Chapters,Goal Met in the language,https://www.notion.so/uofncall/13fa7a8d5e6e81db8dcff7870d3d831b?v=13fa7a8d5e6e8187804d000c23791f84,,0,Rob,Indonesia,,nac,,Sylvia Kay,,,YWAM Indonesia,,,,,,Progress Unknown,,No
Loi,NT / 260 Chapters,Goal Met in the language,https://www.notion.so/uofncall/13fa7a8d5e6e817f9ba5d028bc75770d?v=13fa7a8d5e6e81c68f33000ca6892ffd,,0,Rob,Indonesia,,ndx,,Sylvia Kay,,,YWAM Indonesia,,,,,,Progress Unknown,,No
Manombai ,25 Chapters,Translation in Progress,https://www.notion.so/uofncall/13fa7a8d5e6e8118b50fe5da050e6fd7?v=13fa7a8d5e6e81a19089000cab2a7c67,,0,Rob,Indonesia,,woo,,Sylvia Kay,,,YWAM Indonesia,,,,,,Active,,Yes
Sasak ,Bible,Translation in Progress,https://www.notion.so/uofncall/13fa7a8d5e6e816ba49ece4bfad57cb2?v=13fa7a8d5e6e81829648000c89e99808,,0,Rob,Indonesia,,sas,,Sylvia Kay,,,YWAM Indonesia,,,,,,Active,,Yes
Ternate ,NT / 260 Chapters,Translation in Progress,https://www.notion.so/uofncall/13fa7a8d5e6e81c6824ce329a128f874?v=13fa7a8d5e6e81f28a49000c31a7c551,,0,Rob,Indonesia,,tft,,Sylvia Kay,,,YWAM Indonesia,,,,,,Inactive (paused),,Yes
Dhani-Nayak,,,https://www.notion.so/uofncall/13ea7a8d5e6e815aa32fdfe73a63914a?v=13ea7a8d5e6e8102b788000c0745c179,,0,Rob,Indonesia,,?,,Sylvia Kay,,,YWAM Indonesia,,,,,,Progress Unknown,,No
Idate,NT / 260 Chapters,Translation in Progress,https://www.notion.so/uofncall/13fa7a8d5e6e8149a8d2f299d81dc227?v=13fa7a8d5e6e81c9a2b0000cc0b1736c,"Plan to translate the Gospels and Acts until the end of 2026 // Ready VEssels: mais de 10h de gravação , não tem transcrição ainda ",0,Anabel,East Timor,,idt,03/12/2024,Raissa,Oral,,YWAM East Timor,Manages/Co-manages,,Bible Translation,,Luciana,Active,OBT - Traditional,Yes
Tukudede,NT / 260 Chapters,Translation in Progress,https://www.notion.so/uofncall/13fa7a8d5e6e818e8180fffb05a50bbe?v=13fa7a8d5e6e816f82cf000c8b733567,"Plan to translate the Gospels and Acts until the end of 2026 // Ready Vessels: ",0,Anabel,East Timor,,tkd,03/12/2024,Raissa,Oral,,YWAM East Timor,Manages/Co-manages,,Bible Translation,,Elizangela,Active,OBT - Traditional,Yes
Nauete,NT / 260 Chapters,Translation in Progress,https://www.notion.so/uofncall/13fa7a8d5e6e81bd817dd77264669a86?v=13fa7a8d5e6e81769d8a000c4c152dec,"Plan to translate the Gospels and Acts until the end of 2026 / língua da maratona // Ready Vessels: ",0,Anabel,East Timor,,nxa,03/12/2024,Raissa,Oral,,YWAM East Timor,Manages/Co-manages,,Bible Translation,,Sujana,Active,OBT - Traditional,Yes
Lakalei,25 Chapters,Translation in Progress,https://www.notion.so/uofncall/13fa7a8d5e6e8117b325dd08720b06b8?v=13fa7a8d5e6e81c29e87000c377d4c95,"Will start 2025 // Ready Vessels: ",0,Anabel,East Timor,,lka,03/12/2024,Raissa,Oral,,YWAM East Timor,Manages/Co-manages,,Bible Translation,,Anabel,Planned (to start in the next 12 months),OBT - Traditional,Yes
Tetun,NT / 260 Chapters,Goal Met in the language,https://www.notion.so/uofncall/13fa7a8d5e6e812583d9d09dc9c73b54?v=13fa7a8d5e6e815b92f8000c8e0a5b0b,Plan to translate the Gospels and Acts until the end of 2026 // Ready Vessels=quase 8000 frases,0,Anabel,East Timor,,tet,03/12/2024,Raissa,Oral,,YWAM East Timor,Manages/Co-manages,,Bible Translation,,Sujana,Active,OBT - Traditional,No
Mambae,NT / 260 Chapters,Translation in Progress,https://www.notion.so/uofncall/13fa7a8d5e6e8158a8c1f5a1a3d07e81?v=13fa7a8d5e6e8168ad23000cb373de0e,"Will start 2025 / língua da maratona // Ready Vessels: parou a tradução pra fazer com IA, já tem mais de 10h de gravação e mais de 2h de transcrição ",0,Anabel,East Timor,,mgm,16/06/2026,Raissa,Oral,,YWAM East Timor,Manages/Co-manages,,Bible Translation,,Anabel,Active,OBT - Traditional,Yes
Pattani ,NT / 260 Chapters,Translation in Progress,https://www.notion.so/uofncall/13fa7a8d5e6e81f6a383fd2e3fcc5a0a?v=13fa7a8d5e6e81ac99a7000c92e0987d,Plan to translate New Testament and Proverbs,0,Silvana,India,,lae,,"Silvana ",,,YWAM Los Angeles,,,,,,Active,,No
Mahasu,Bible,Translation in Progress,https://www.notion.so/uofncall/13fa7a8d5e6e81b480c0fed3cfc033a8?v=13fa7a8d5e6e81aeba28000cecc8b4bf,Plan to translate New Testament,0,Silvana,India,,bfz,,Silvana,,,YWAM Los Angeles,,,,,,Progress Unknown,,No
Katakari in Maharashtra,NT / 260 Chapters,Goal Met in the language,https://www.notion.so/uofncall/13fa7a8d5e6e81ddaf8dd6b105de3bf4?v=13fa7a8d5e6e81ce8fac000c1c7dceaf,,0,Silvana,India,,kfu,,,,,YWAM Los Angeles,,,,,,Progress Unknown,,No
